"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4441","Successfully add product to cart from Product page","tests","Thu Nov 20 18:50:10 UTC 2025","passed","Thu Nov 20 18:50:14 UTC 2025","TestProductPage","product_page_tests","",""
"","4786","Successfully add product to cart from Product page","tests","Thu Nov 20 18:50:14 UTC 2025","passed","Thu Nov 20 18:50:19 UTC 2025","TestProductPage","product_page_tests","",""
"","7663","Successfully filter by max price","tests","Thu Nov 20 18:49:59 UTC 2025","passed","Thu Nov 20 18:50:06 UTC 2025","TestDesksPage","desks_tests","",""
"","2706","Empty Cart page has all the necessary details","tests","Thu Nov 20 18:49:50 UTC 2025","passed","Thu Nov 20 18:49:53 UTC 2025","TestCartPage","cart_tests","",""
"","3831","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:50:12 UTC 2025","passed","Thu Nov 20 18:50:16 UTC 2025","TestProductPage","product_page_tests","",""
"","5151","Successful search by key words in Desks category","tests","Thu Nov 20 18:49:51 UTC 2025","passed","Thu Nov 20 18:49:56 UTC 2025","TestDesksPage","desks_tests","",""
"","1354","Successfully remove product from cart","tests","Thu Nov 20 18:50:00 UTC 2025","passed","Thu Nov 20 18:50:02 UTC 2025","TestCartPage","cart_tests","",""
"","9200","Sort desks - Price - Low to High","tests","Thu Nov 20 18:50:07 UTC 2025","passed","Thu Nov 20 18:50:17 UTC 2025","TestDesksPage","desks_tests","",""
"","6898","Sort desks - Name (A-Z)","tests","Thu Nov 20 18:50:00 UTC 2025","passed","Thu Nov 20 18:50:07 UTC 2025","TestDesksPage","desks_tests","",""
"","4286","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:50:17 UTC 2025","passed","Thu Nov 20 18:50:21 UTC 2025","TestProductPage","product_page_tests","",""
"","7414","Successfully filter by max price","tests","Thu Nov 20 18:50:02 UTC 2025","passed","Thu Nov 20 18:50:09 UTC 2025","TestDesksPage","desks_tests","",""
"","3236","Product has all the necessary details","tests","Thu Nov 20 18:50:08 UTC 2025","passed","Thu Nov 20 18:50:11 UTC 2025","TestProductPage","product_page_tests","",""
"","4669","Successfully add product to cart by hover button","tests","Thu Nov 20 18:49:51 UTC 2025","passed","Thu Nov 20 18:49:55 UTC 2025","TestCartPage","cart_tests","",""
"","4046","Successful search by key words in Desks category","tests","Thu Nov 20 18:49:51 UTC 2025","passed","Thu Nov 20 18:49:55 UTC 2025","TestDesksPage","desks_tests","",""
"","6783","Sort desks - Price - High to Low","tests","Thu Nov 20 18:50:07 UTC 2025","passed","Thu Nov 20 18:50:14 UTC 2025","TestDesksPage","desks_tests","",""
"","4314","Successfully add product to cart by hover button","tests","Thu Nov 20 18:49:54 UTC 2025","passed","Thu Nov 20 18:49:58 UTC 2025","TestCartPage","cart_tests","",""
"","4175","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:50:16 UTC 2025","passed","Thu Nov 20 18:50:20 UTC 2025","TestProductPage","product_page_tests","",""
"","3320","Successful search by key words in Desks category","tests","Thu Nov 20 18:49:55 UTC 2025","passed","Thu Nov 20 18:49:58 UTC 2025","TestDesksPage","desks_tests","",""
"","3367","Successful search by key words in Desks category","tests","Thu Nov 20 18:49:56 UTC 2025","passed","Thu Nov 20 18:49:59 UTC 2025","TestDesksPage","desks_tests","",""
"","4110","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:50:15 UTC 2025","passed","Thu Nov 20 18:50:19 UTC 2025","TestProductPage","product_page_tests","",""
"","7435","Successfully filter by max price","tests","Thu Nov 20 18:49:58 UTC 2025","passed","Thu Nov 20 18:50:06 UTC 2025","TestDesksPage","desks_tests","",""
