"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Categories","10","0","Desks category","0"
"0","","0","Product page","4","0","Product page search","0"
"0","","0","Cart","2","0","Adding products to cart","0"
"0","","0","Cart","1","0","Empty Cart page","0"
"0","","0","Product page","2","0","Add product to cart from Product page","0"
"0","","0","Product page","1","0","Product details on Product Page","0"
"0","","0","Cart","1","0","Removing products from cart","0"
